PVC;
Déplacement (mm);Force (N)
9.94;847.75
9.94;863.75
9.94;847.75
9.94;863.75
10;847.75
10;863.75
10;847.75
10;863.75
10;847.75
10;863.75
10;847.75
10;863.75
10.05;847.75
10.05;863.75
10.05;847.75
10.05;863.75
10.05;847.75
10.05;863.75
10.05;847.75
10.05;863.75
10.11;847.75
10.11;863.75
10.11;847.75
10.11;863.75
10.16;847.75
10.16;847.75
10.16;847.75
10.16;863.75
10.16;847.75
10.16;863.75
10.16;847.75
10.16;847.75
10.22;831.76
10.22;847.75
10.22;847.75
10.22;863.75
10.22;847.75
10.22;863.75
10.22;847.75
10.28;831.76
10.28;831.76
10.28;863.75
10.28;831.76
10.28;863.75
10.28;847.75
10.33;847.75
10.33;831.76
10.33;863.75
10.33;831.76
10.33;847.75
10.33;831.76
10.33;847.75
10.39;831.76
10.39;847.75
10.39;847.75
10.39;847.75
10.44;831.76
10.44;831.76
10.44;831.76
10.44;847.75
10.44;831.76
10.44;847.75
10.44;831.76
10.44;847.75
10.44;847.75
10.5;831.76
10.5;847.75
10.5;831.76
10.5;831.76
10.5;847.75
10.5;831.76
10.56;847.75
10.56;831.76
10.56;847.75
10.56;831.76
10.56;847.75
10.56;847.75
10.61;831.76
10.61;831.76
10.61;847.75
10.61;831.76
10.61;847.75
10.61;831.76
10.61;847.75
10.61;831.76
10.61;847.75
10.67;831.76
10.67;847.75
10.67;831.76
10.67;847.75
10.67;847.75
10.67;847.75
10.73;831.76
10.73;831.76
10.73;831.76
10.73;847.75
10.73;847.75
10.73;847.75
10.78;831.76
10.78;831.76
10.78;831.76
10.78;847.75
10.78;847.75
10.78;847.75
10.84;831.76
10.84;831.76
10.84;831.76
10.84;847.75
10.84;831.76
10.84;847.75
10.84;847.75
10.89;831.76
10.89;831.76
10.89;847.75
10.89;815.76
10.89;847.75
10.89;831.76
10.89;847.75
10.95;831.76
10.95;847.75
10.95;815.76
10.95;847.75
10.95;831.76
10.95;847.75
10.95;847.75
11.01;831.76
11.01;815.76
11.01;847.75
11.01;847.75
11.01;847.75
11.01;847.75
11.06;815.76
11.06;815.76
11.06;815.76
11.06;815.76
11.06;847.75
11.06;815.76
11.06;847.75
11.12;815.76
11.12;847.75
11.12;815.76
11.12;847.75
11.12;815.76
11.12;847.75
11.12;847.75
11.17;815.76
11.17;815.76
11.17;847.75
11.17;847.75
11.17;847.75
11.23;815.76
11.23;815.76
11.23;815.76
11.23;847.75
11.23;831.76
11.23;847.75
11.29;815.76
11.29;815.76
11.29;815.76
11.29;831.76
11.29;847.75
11.29;815.76
11.29;831.76
11.29;831.76
11.34;815.76
11.34;815.76
11.34;815.76
11.34;831.76
11.34;815.76
11.34;831.76
11.34;831.76
11.4;815.76
11.4;815.76
11.4;831.76
11.4;831.76
11.46;815.76
11.46;815.76
11.46;831.76
11.46;815.76
11.46;831.76
11.46;831.76
11.46;831.76
11.51;815.76
11.51;815.76
11.51;831.76
11.51;815.76
11.51;815.76
11.51;831.76
11.57;815.76
11.57;831.76
11.57;815.76
11.57;831.76
11.57;815.76
11.57;831.76
11.57;815.76
11.57;831.76
11.57;831.76
11.62;815.76
11.62;815.76
11.62;831.76
11.62;831.76
11.62;831.76
11.62;831.76
11.68;815.76
11.68;815.76
11.68;815.76
11.68;815.76
11.68;831.76
11.68;831.76
11.68;831.76
11.74;815.76
11.74;815.76
11.74;815.76
11.74;831.76
11.74;831.76
11.79;815.76
11.79;815.76
11.79;831.76
11.79;815.76
11.79;831.76
11.79;831.76
11.79;831.76
11.85;815.76
11.85;815.76
11.85;815.76
11.85;831.76
11.85;815.76
11.85;831.76
11.9;815.76
11.9;831.76
11.9;815.76
11.9;831.76
11.9;831.76
11.9;831.76
11.9;831.76
11.96;815.76
11.96;815.76
11.96;815.76
11.96;815.76
11.96;831.76
11.96;815.76
11.96;831.76
11.96;831.76
12.02;815.76
12.02;799.77
12.02;831.76
12.02;799.77
12.02;831.76
12.02;831.76
12.07;799.77
12.07;799.77
12.07;831.76
12.07;831.76
12.07;831.76
12.13;799.77
12.13;799.77
12.13;799.77
12.13;831.76
12.13;831.76
12.13;831.76
12.13;831.76
12.19;799.77
12.19;799.77
12.19;799.77
12.19;799.77
12.19;831.76
12.19;799.77
12.19;815.76
12.19;815.76
12.24;799.77
12.24;799.77
12.24;815.76
12.24;799.77
12.24;831.76
12.24;815.76
12.3;799.77
12.3;799.77
12.3;815.76
12.3;799.77
12.3;815.76
12.3;815.76
12.3;815.76
12.35;799.77
12.35;799.77
12.35;799.77
12.35;831.76
12.35;799.77
12.35;815.76
12.35;815.76
12.41;799.77
12.41;799.77
12.41;815.76
12.41;815.76
12.41;815.76
12.41;815.76
12.47;799.77
12.47;799.77
12.47;799.77
12.47;799.77
12.47;815.76
12.47;815.76
12.52;799.77
12.52;799.77
12.52;815.76
12.52;799.77
12.52;815.76
12.52;799.77
12.52;815.76
12.58;799.77
12.58;815.76
12.58;815.76
12.58;815.76
12.58;815.76
12.63;799.77
12.63;799.77
12.63;799.77
12.63;799.77
12.63;815.76
12.63;799.77
12.63;815.76
12.63;815.76
12.69;799.77
12.69;799.77
12.69;815.76
12.69;799.77
12.69;815.76
12.69;815.76
12.75;799.77
12.75;799.77
12.75;815.76
12.75;815.76
12.75;815.76
12.75;815.76
12.8;799.77
12.8;799.77
12.8;799.77
12.8;799.77
12.8;815.76
12.8;799.77
12.8;815.76
12.8;815.76
12.86;799.77
12.86;799.77
12.86;815.76
12.86;815.76
12.86;815.76
12.92;799.77
12.92;799.77
12.92;783.77
12.92;815.76
12.92;799.77
12.92;815.76
12.92;815.76
12.92;815.76
12.97;799.77
12.97;783.77
12.97;783.77
12.97;815.76
12.97;815.76
12.97;815.76
12.97;815.76
13.03;783.77
13.03;783.77
13.03;799.77
13.03;815.76
13.03;815.76
13.03;815.76
13.08;783.77
13.08;783.77
13.08;799.77
13.08;783.77
13.08;815.76
13.08;783.77
13.08;815.76
13.08;783.77
13.08;815.76
13.14;783.77
13.14;815.76
13.14;783.77
13.14;815.76
13.14;815.76
13.14;815.76
13.2;783.77
13.2;783.77
13.2;783.77
13.2;815.76
13.2;783.77
13.2;815.76
13.25;783.77
13.25;815.76
13.25;783.77
13.25;815.76
13.25;815.76
13.25;815.76
13.25;799.77
13.31;783.77
13.31;783.77
13.31;783.77
13.31;783.77
13.31;799.77
13.31;815.76
13.31;815.76
13.36;783.77
13.36;783.77
13.36;783.77
13.36;815.76
13.36;799.77
13.36;815.76
13.36;799.77
13.42;783.77
13.42;783.77
13.42;783.77
13.42;815.76
13.42;799.77
13.42;799.77
13.48;783.77
13.48;783.77
13.48;783.77
13.48;783.77
13.48;799.77
13.48;799.77
13.53;783.77
13.53;783.77
13.53;799.77
13.53;783.77
13.53;799.77
13.53;783.77
13.53;799.77
13.53;799.77
13.59;783.77
13.59;783.77
13.59;799.77
13.59;799.77
13.65;783.77
13.65;783.77
13.65;799.77
13.65;783.77
13.65;799.77
13.65;799.77
13.65;799.77
13.65;799.77
13.7;783.77
13.7;783.77
13.7;783.77
13.7;783.77
13.7;799.77
13.7;799.77
13.7;799.77
13.76;783.77
13.76;783.77
13.76;783.77
13.76;799.77
13.76;799.77
13.76;799.77
13.81;783.77
13.81;783.77
13.81;783.77
13.81;799.77
13.81;783.77
13.81;799.77
13.81;783.77
13.81;799.77
13.81;799.77
13.87;783.77
